"invoice_product_id","quantity","stockcode","invoiceno"
1,6,"85123A","536365"
2,6,"71053","536366"
3,8,"84406B","536367"
4,6,"84029G","536368"
5,6,"84029E","536369"
6,2,"22752","536370"
7,6,"21730","536371"
8,6,"22633","536372"
9,6,"22632","536373"
10,32,"84879","536374"
11,6,"22745","536375"
12,6,"22748","536376"
13,8,"22749","536377"
14,6,"22310","536378"
15,6,"84969","536380"
16,3,"22623","536381"
17,2,"22622",C536379
18,3,"21754","536382"
19,3,"21755",C536383
20,4,"21777","536384"
21,4,"48187","536385"
22,6,"22960","536386"
23,3,"22913","536387"
24,3,"22912","536388"
25,3,"22914","536389"
26,3,"21756","536390"
27,24,"22728",C536391
28,24,"22727","536392"
29,12,"22726","536393"
30,12,"21724","536394"
31,24,"21883","536395"
32,48,"10002","536396"
33,24,"21791","536397"
34,18,"21035","536398"
35,24,"22326","536399"
36,24,"22629","536400"
37,24,"22659","536401"
38,24,"22631","536402"
39,20,"22661","536403"
40,24,"21731","536404"
41,24,"22900","536405"
42,12,"21913","536406"
43,24,"22540","536407"
44,24,"22544","536408"
45,36,"22492","536409"
46,3,POST,"536412"
47,80,"22086","536414"
48,6,"22632","536415"
49,6,"22633","536416"
50,6,"85123A","536420"
51,6,"71053","536423"
52,8,"84406B","536425"
53,6,"20679","536437"
54,6,"37370","536446"
55,6,"21871","536460"
56,6,"21071","536463"
57,6,"21068","536464"
58,2,"82483","536466"
59,4,"82486","536477"
60,6,"82482","536488"
61,6,"82494L","536500"
62,6,"84029G","536502"
63,6,"84029E","536508"
64,2,"22752",C536506
65,6,"21730","536514"
66,32,"21258","536520"
67,6,"85123A","536521"
68,6,"71053","536522"
69,8,"84406B","536523"
70,6,"20679","536524"
71,6,"37370","536525"
72,6,"21871","536526"
73,6,"21071","536527"
74,6,"21068","536528"
75,2,"82483","536529"
76,4,"82486","536530"
77,6,"82482","536531"
78,6,"82494L","536532"
79,6,"84029G","536533"
80,6,"84029E","536534"
81,2,"22752","536535"
82,6,"21730","536536"
83,48,"22114","536537"
84,64,"21733","536538"
85,6,"22632","536539"
86,6,"22633","536540"
87,10,"22386","536541"
88,10,"85099C","536542"
89,10,"21033",C536543
90,10,"20723","536544"
91,12,"84997B","536545"
92,6,"84997C","536546"
93,12,"21094","536547"
94,10,"20725",C536548
95,6,"21559","536549"
96,6,"22352","536550"
97,120,"21212","536551"
98,24,"21975","536552"
99,24,"21977","536553"
100,24,"84991","536554"
101,6,"84519A","536555"
